ContactId,SubscriptionPlanId,ProductId,ProgramId,CC1,PaymentGatewayId,Frequency,BillingCycle,BillingAmt,PromoCode,Status,StartDate,EndDate,ReasonStopped,PaidThruDate,NextBillDate,AutoCharge,MaxRetry,NumDaysBetweenRetry
1307199,45,1313,45,139719,SEE DESTINATION APP,1,2,47,,Active,4/22/16 0:00,,,4/2/17,5/2/17 0:00,Yes,3,2
1122535,45,1313,45,155301,SEE DESTINATION APP,1,1,470,,Active,8/11/16 0:00,,,8/5/16,8/5/17 0:00,Yes,3,2
195157,45,1313,45,141831,SEE DESTINATION APP,1,2,47,,Active,8/16/16 0:00,,,7/20/17,8/20/17 0:00,Yes,3,2
1331007,45,1313,45,149163,SEE DESTINATION APP,1,2,47,,Active,9/7/16 0:00,,,8/19/17,9/19/17 0:00,Yes,3,2
686521,45,1313,45,136111,SEE DESTINATION APP,1,2,47,,Active,3/10/17 0:00,,,2/10/18,3/10/18 0:00,Yes,3,2
1136687,57,1397,57,155789,SEE DESTINATION APP,1,2,79,FREE30,Active,3/19/17 0:00,,,5/18/17,5/18/17 0:00,Yes,3,2
1409493,57,1397,57,156149,SEE DESTINATION APP,1,2,79,FREE30,Active,3/20/17 0:00,4/19/17 0:00,,3/19/17,4/19/17 0:00,Yes,3,2
1409495,57,1397,57,156151,SEE DESTINATION APP,1,2,79,FREE30,Active,3/20/17 0:00,,,3/19/17,4/19/17 0:00,Yes,3,2
1409563,57,1397,57,156153,SEE DESTINATION APP,1,2,79,FREE30,Active,3/24/17 0:00,,,3/23/17,4/23/17 0:00,Yes,3,2
1285207,57,1397,57,138877,SEE DESTINATION APP,1,2,79,FREE30,Active,3/25/17 0:00,,,3/24/17,4/24/17 0:00,Yes,3,2
1409597,57,1397,57,156155,SEE DESTINATION APP,1,2,79,FREE30,Active,3/25/17 0:00,,,3/24/17,4/24/17 0:00,Yes,3,2
1330101,57,1397,57,148625,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
1127347,57,1397,57,155793,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
1409633,57,1397,57,156159,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
1290795,57,1397,57,138937,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
1330163,57,1397,57,148711,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
1304987,57,1397,57,138977,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
964585,57,1397,57,156161,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,4/26/17 0:00,,3/26/17,4/26/17 0:00,Yes,3,2
1306793,57,1397,57,139385,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,4/26/17 0:00,,3/26/17,4/26/17 0:00,Yes,3,2
1293363,57,1397,57,138967,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
1329985,57,1397,57,148501,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
1279851,57,1397,57,138859,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
521118,57,1397,57,134833,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
1355661,57,1397,57,152481,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
1293905,57,1397,57,138969,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
937747,57,1397,57,156163,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
1333975,57,1397,57,150023,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
1179745,57,1397,57,156165,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
924045,57,1397,57,154549,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
963823,57,1397,57,155267,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
1377759,57,1397,57,154207,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
1331647,57,1397,57,149371,SEE DESTINATION APP,1,2,79,,Active,3/27/17 0:00,,,3/27/17,4/27/17 0:00,Yes,3,2
1331183,57,1397,57,149209,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
1275567,57,1397,57,138835,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
1316893,57,1397,57,145811,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
1343935,57,1397,57,151789,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
1187719,57,1397,57,156167,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
1277851,57,1397,57,138849,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
1341437,57,1397,57,151531,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
1339311,57,1397,57,151119,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
1292441,57,1397,57,138963,SEE DESTINATION APP,1,2,79,FREE30,Active,3/27/17 0:00,,,3/26/17,4/26/17 0:00,Yes,3,2
1311959,57,1397,57,144263,SEE DESTINATION APP,1,2,79,FREE30,Active,3/28/17 0:00,,,3/27/17,4/27/17 0:00,Yes,3,2
1335383,57,1397,57,150341,SEE DESTINATION APP,1,2,79,FREE30,Active,3/28/17 0:00,,,3/27/17,4/27/17 0:00,Yes,3,2
1172027,57,1397,57,156079,SEE DESTINATION APP,1,2,79,FREE30,Active,3/28/17 0:00,,,3/27/17,4/27/17 0:00,Yes,3,2
1290795,57,1397,57,138937,SEE DESTINATION APP,1,2,79,FREE30,Active,3/28/17 0:00,,,3/27/17,4/27/17 0:00,Yes,3,2
1308683,57,1397,57,140985,SEE DESTINATION APP,1,2,79,FREE30,Active,3/28/17 0:00,4/27/17 0:00,,3/27/17,4/27/17 0:00,Yes,3,2
1069769,57,1397,57,156169,SEE DESTINATION APP,1,2,79,FREE30,Active,3/28/17 0:00,,,3/27/17,4/27/17 0:00,Yes,3,2
1153105,57,1397,57,155815,SEE DESTINATION APP,1,2,79,FREE30,Active,3/28/17 0:00,,,3/27/17,4/27/17 0:00,Yes,3,2
1378577,57,1397,57,154359,SEE DESTINATION APP,1,2,79,FREE30,Active,3/28/17 0:00,,,3/27/17,4/27/17 0:00,Yes,3,2
1250699,57,1397,57,138807,SEE DESTINATION APP,1,2,79,FREE30,Active,3/28/17 0:00,,,3/27/17,4/27/17 0:00,Yes,3,2
1170307,57,1397,57,155853,SEE DESTINATION APP,1,2,79,FREE30,Active,3/28/17 0:00,,,3/27/17,4/27/17 0:00,Yes,3,2
826811,57,1397,57,136957,SEE DESTINATION APP,1,2,79,FREE30,Active,3/28/17 0:00,,,3/27/17,4/27/17 0:00,Yes,3,2
1409709,57,1397,57,156171,SEE DESTINATION APP,1,2,79,FREE30,Active,3/28/17 0:00,,,3/27/17,4/27/17 0:00,Yes,3,2
1308361,57,1397,57,140689,SEE DESTINATION APP,1,2,79,FREE30,Active,3/29/17 0:00,,,3/28/17,4/28/17 0:00,Yes,3,2
1331965,57,1397,57,149477,SEE DESTINATION APP,1,2,79,,Active,3/29/17 0:00,,,3/27/17,4/27/17 0:00,Yes,3,2
1292011,57,1397,57,138951,SEE DESTINATION APP,1,2,79,FREE30,Active,3/29/17 0:00,,,3/28/17,4/28/17 0:00,Yes,3,2
1334595,57,1397,57,150167,SEE DESTINATION APP,1,2,79,FREE30,Active,3/29/17 0:00,,,3/28/17,4/28/17 0:00,Yes,3,2
995069,57,1397,57,154643,SEE DESTINATION APP,1,2,79,FREE30,Active,3/29/17 0:00,,,3/28/17,4/28/17 0:00,Yes,3,2
1311195,57,1397,57,143091,SEE DESTINATION APP,1,2,79,FREE30,Active,3/29/17 0:00,,,3/28/17,4/28/17 0:00,Yes,3,2
1276631,57,1397,57,138843,SEE DESTINATION APP,1,2,79,FREE30,Active,3/29/17 0:00,,,3/28/17,4/28/17 0:00,Yes,3,2
1309037,57,1397,57,141295,SEE DESTINATION APP,1,2,79,FREE30,Active,3/29/17 0:00,4/28/17 0:00,,3/28/17,4/28/17 0:00,Yes,3,2
1394651,57,1397,57,154755,SEE DESTINATION APP,1,2,79,FREE30,Active,3/30/17 0:00,,,3/29/17,4/29/17 0:00,Yes,3,2
1060909,57,1397,57,155751,SEE DESTINATION APP,1,2,79,FREE30,Active,3/30/17 0:00,,,3/29/17,4/29/17 0:00,Yes,3,2
1409735,57,1397,57,156175,SEE DESTINATION APP,1,2,79,FREE30,Active,3/30/17 0:00,4/29/17 0:00,,3/29/17,4/29/17 0:00,Yes,3,2
1290739,57,1397,57,138935,SEE DESTINATION APP,1,2,79,FREE30,Active,3/30/17 0:00,,,3/29/17,4/29/17 0:00,Yes,3,2
1283347,57,1397,57,138867,SEE DESTINATION APP,1,2,79,FREE30,Active,3/30/17 0:00,,,3/29/17,4/29/17 0:00,Yes,3,2
695745,57,1397,57,136203,SEE DESTINATION APP,1,2,79,FREE30,Active,3/31/17 0:00,,,3/30/17,4/30/17 0:00,Yes,3,2
1173331,57,1397,57,156179,SEE DESTINATION APP,1,2,79,FREE30,Active,3/31/17 0:00,,,3/30/17,4/30/17 0:00,Yes,3,2
1305727,57,1397,57,138989,SEE DESTINATION APP,1,2,79,FREE30,Active,3/31/17 0:00,,,3/30/17,4/30/17 0:00,Yes,3,2
836611,57,1397,57,155939,SEE DESTINATION APP,1,2,79,FREE30,Active,3/31/17 0:00,,,3/30/17,4/30/17 0:00,Yes,3,2
1309081,57,1397,57,141313,SEE DESTINATION APP,1,2,79,FREE30,Active,4/3/17 0:00,,,4/3/17,5/3/17 0:00,Yes,3,2
1203233,57,1397,57,138721,SEE DESTINATION APP,1,2,79,FREE30,Active,4/3/17 0:00,,,4/3/17,5/3/17 0:00,Yes,3,2
1332205,45,1313,45,149549,SEE DESTINATION APP,1,2,47,,Active,4/3/17 0:00,,,5/22/17,6/22/17 0:00,Yes,3,2
1315731,57,1397,57,145375,SEE DESTINATION APP,1,2,79,,Active,4/3/17 0:00,,,4/3/17,5/3/17 0:00,Yes,3,2
1305045,57,1397,57,138981,SEE DESTINATION APP,1,2,79,FREE30,Active,4/4/17 0:00,,,4/4/17,5/4/17 0:00,Yes,3,2
1287567,57,1397,57,138897,SEE DESTINATION APP,1,2,79,FREE30,Active,4/5/17 0:00,,,4/5/17,5/5/17 0:00,Yes,3,2
940131,57,1397,57,154241,SEE DESTINATION APP,1,2,79,FREE30,Active,4/5/17 0:00,,,4/5/17,5/5/17 0:00,Yes,3,2
1409879,57,1397,57,156183,SEE DESTINATION APP,1,2,79,FREE30,Active,4/5/17 0:00,,,4/5/17,5/5/17 0:00,Yes,3,2
1409881,57,1397,57,156185,SEE DESTINATION APP,1,2,79,FREE30,Active,4/5/17 0:00,,,4/5/17,5/5/17 0:00,Yes,3,2
1170569,57,1397,57,155903,SEE DESTINATION APP,1,2,79,FREE30,Active,4/5/17 0:00,,,4/5/17,5/5/17 0:00,Yes,3,2
1409335,57,1397,57,156133,SEE DESTINATION APP,1,2,79,FREE30,Active,4/6/17 0:00,,,4/6/17,5/6/17 0:00,Yes,3,2
1378003,57,1397,57,154249,SEE DESTINATION APP,1,2,79,FREE30,Active,4/6/17 0:00,,,4/6/17,5/6/17 0:00,Yes,3,2
1306471,57,1397,57,139061,SEE DESTINATION APP,1,2,79,FREE30,Active,4/7/17 0:00,,,4/7/17,5/7/17 0:00,Yes,3,2
1409925,57,1397,57,156187,SEE DESTINATION APP,1,2,79,FREE30,Active,4/11/17 0:00,,,4/11/17,5/11/17 0:00,Yes,3,2
1324409,57,1397,57,146923,SEE DESTINATION APP,1,2,79,FREE30,Active,4/17/17 0:00,,,4/17/17,5/17/17 0:00,Yes,3,2
1129871,57,1397,57,0,SEE DESTINATION APP,1,2,79,FREE30,Active,4/17/17 0:00,,,4/17/17,5/17/17 0:00,Yes,3,2
