ContactId,SubscriptionPlanId,ProductId,ProgramId,CC1,PaymentGatewayId,Frequency,BillingCycle,BillingAmt,PromoCode,Status,StartDate,EndDate,ReasonStopped,PaidThruDate,NextBillDate,AutoCharge,MaxRetry,NumDaysBetweenRetry
1070969,45,1313,45,0,SEE DESTINATION APP,1,2,47.0,,Inactive,2014-06-17 00:00:00,,,2014-09-17 00:00:00,2014-10-17 00:00:00 UTC,Yes,3,2
1070969,45,1313,45,0,SEE DESTINATION APP,1,2,47.0,,Inactive,2014-06-17 00:00:00,,,2014-09-17 00:00:00,2014-10-17 00:00:00 UTC,Yes,3,2
1070969,45,1313,45,0,SEE DESTINATION APP,1,2,47.0,,Inactive,2014-06-18 00:00:00,,,2014-09-18 00:00:00,2014-10-18 00:00:00 UTC,Yes,3,2
1070969,45,1313,45,0,SEE DESTINATION APP,1,2,47.0,,Inactive,2014-06-18 00:00:00,,,2014-09-18 00:00:00,2014-10-18 00:00:00 UTC,Yes,3,2
1070969,45,1313,45,0,SEE DESTINATION APP,1,2,47.0,,Inactive,2014-06-19 00:00:00,,,2014-09-19 00:00:00,2014-10-19 00:00:00 UTC,Yes,3,2
1070969,45,1313,45,0,SEE DESTINATION APP,1,2,47.0,,Inactive,2014-08-27 00:00:00,,,2014-09-27 00:00:00,2014-10-27 00:00:00 UTC,Yes,3,2
1070969,45,1313,45,0,SEE DESTINATION APP,1,2,47.0,,Inactive,2014-09-02 00:00:00,,,2014-10-02 00:00:00,2014-11-02 00:00:00 UTC,Yes,3,2
967063,45,1313,45,137761,SEE DESTINATION APP,1,2,47.0,,Inactive,2014-09-02 00:00:00,,,2014-10-02 00:00:00,2014-11-02 00:00:00 UTC,Yes,3,2
1307515,45,1313,45,139957,SEE DESTINATION APP,1,2,47.0,,Active,2014-09-03 00:00:00,,,2017-04-03 00:00:00,2017-05-03 00:00:00 UTC,Yes,3,2
1316531,45,1313,45,145691,SEE DESTINATION APP,1,2,47.0,,Inactive,2014-09-03 00:00:00,2017-03-06 00:00:00,,2017-03-03 00:00:00,2017-04-03 00:00:00 UTC,No,3,2
1310385,45,1313,45,142333,SEE DESTINATION APP,1,2,47.0,,Inactive,2014-09-03 00:00:00,2016-01-17 00:00:00,,2016-01-03 00:00:00,2016-02-03 00:00:00 UTC,No,3,2
1308461,45,1313,45,140777,SEE DESTINATION APP,1,2,47.0,,Inactive,2014-09-03 00:00:00,2015-03-11 00:00:00,,2015-03-03 00:00:00,2015-04-03 00:00:00 UTC,No,3,2
1306905,45,1313,45,139463,SEE DESTINATION APP,1,2,47.0,,Inactive,2014-09-03 00:00:00,2016-05-09 00:00:00,,2016-05-03 00:00:00,2016-06-03 00:00:00 UTC,No,3,2
