OrderId,ProductId,ItemType,ItemName,ItemDescription,Qty,PricePerUnit,Notes
6869,73,4,Health Food Bars,Super Delicious!,2,9.0,
6871,73,9,Health Food Bars,Super Delicious! ,1,5.0,
6871,0,2,Sales Tax,,1,0.45,
6875,81,9,Offic Organization Monthly Tips,,1,20.0,
6877,73,9,Health Food Bars,Super Delicious! ,1,5.0,
6877,0,2,Sales Tax,,1,0.45,
6879,0,1,Flat Rate Per Order,,1,5.0,
6881,0,1,Standard Shipping,,1,9.97,
6883,0,1,Rush Shipping,,1,29.99,
6885,81,9,Offic Organization Monthly Tips,,1,20.0,
6887,73,9,Health Food Bars,Super Delicious! ,1,5.0,
6887,0,2,Sales Tax,,1,0.45,
6889,73,9,Health Food Bars,Super Delicious! ,1,5.0,
6889,0,2,Sales Tax,,1,0.45,
6891,73,4,Health Food Bars,Super Delicious!,1,10.0,
6893,73,9,Health Food Bars,Super Delicious! ,1,5.0,
6893,0,2,Sales Tax,,1,0.45,
6895,73,9,Health Food Bars,Super Delicious! ,1,5.0,
6895,0,2,Sales Tax,,1,0.45,
6897,81,9,Offic Organization Monthly Tips,,1,20.0,
6899,73,9,Health Food Bars,Super Delicious! ,1,9.0,
6899,0,2,Sales Tax,,1,0.81,
6901,73,9,Health Food Bars,Super Delicious! ,1,5.0,
6901,0,2,Sales Tax,,1,0.45,
6903,81,9,Offic Organization Monthly Tips,,1,20.0,
6905,73,9,Health Food Bars,Super Delicious! ,1,5.0,
6905,0,2,Sales Tax,,1,0.45,
6907,73,9,Health Food Bars,Super Delicious! ,1,5.0,
6907,0,2,Sales Tax,,1,0.45,
6909,73,4,Health Food Bars,Super Delicious!,1,10.0,
6913,73,4,Health Food Bars,,1,10.0,
6915,73,9,Health Food Bars,Super Delicious! ,1,5.0,
6915,0,2,Sales Tax,,1,0.45,
6917,81,9,Offic Organization Monthly Tips,,1,20.0,
6919,73,9,Health Food Bars,Super Delicious! ,1,5.0,
6919,0,2,Sales Tax,,1,0.45,
6921,73,9,Health Food Bars,Super Delicious! ,1,5.0,
6921,0,2,Sales Tax,,1,0.45,
6923,83,4,4 month sub,,1,0.0,
6925,73,9,Health Food Bars,Super Delicious! ,1,5.0,
