OrderId,ProductId,ItemType,ItemName,ItemDescription,Qty,PricePerUnit,Notes
478411,1425,4,TFF Trial,,1,5.0,
478411,0,1,Shipping,Shipping,1,0.0,
478415,1425,4,TFF Trial,,1,5.0,
478415,0,1,Shipping,Shipping,1,0.0,
478421,1425,4,TFF Trial,,1,5.0,
478421,0,1,Shipping,Shipping,1,0.0,
478429,1425,4,TFF Trial,,1,9.97,
478439,1425,4,TFF Trial,,1,9.97,
478449,1425,4,TFF Trial,,1,7.0,
478459,1425,4,TFF Trial,,1,7.0,
478471,1429,4,TFF April Seminar,,1,197.0,
478485,1429,4,TFF April Seminar,,1,197.0,
478501,1425,4,TFF Trial,,1,7.0,
478413,1425,4,TFF Trial,,1,7.0,
478419,1429,4,TFF April Seminar,April Seminar,1,197.0,
478427,1429,4,TFF April Seminar,,1,197.0,
478437,1429,4,TFF April Seminar,,1,197.0,
478447,1429,4,TFF April Seminar,,1,197.0,
478457,1425,4,TFF Trial,,1,7.0,
478465,1425,4,TFF Trial,,1,7.0,
478477,1425,4,TFF Trial,,1,7.0,
478493,1425,4,TFF Trial,,1,7.0,
478503,1425,4,TFF Trial,,1,7.0,
478417,1425,4,TFF Trial,,1,7.0,
478423,1425,4,TFF Trial,,1,7.0,
478435,1425,4,TFF Trial,,1,7.0,
478445,1425,4,TFF Trial,,1,7.0,
478451,1425,4,TFF Trial,,1,7.0,
478467,1425,4,TFF Trial,,1,7.0,
478479,1425,4,TFF Trial,,1,7.0,
478487,1425,4,TFF Trial,,1,7.0,
478509,1425,4,TFF Trial,,1,7.0,
478531,1425,4,TFF Trial,,1,7.0,
478425,1439,4,TFF May Seminar Special,,1,97.0,
478433,1439,4,TFF May Seminar Special,,1,97.0,
478443,1439,4,TFF May Seminar Special,,1,97.0,
478455,1439,4,TFF May Seminar Special,,1,97.0,
478463,1425,4,TFF Trial,,1,7.0,
478475,1425,4,TFF Trial,,1,7.0,
478489,1439,4,TFF May Seminar Special,,1,97.0,
478507,1425,4,TFF Trial,,1,7.0,
478521,1439,4,TFF May Seminar Special,,1,97.0,
