ContactId,SubscriptionPlanId,ProductId,ProgramId,CC1,PaymentGatewayId,Frequency,BillingCycle,BillingAmt,PromoCode,Status,StartDate,EndDate,ReasonStopped,PaidThruDate,NextBillDate,AutoCharge,MaxRetry,NumDaysBetweenRetry
1410391,213,1423,213,0,SEE DESTINATION APP,1,2,147.0,,Inactive,2012-01-31 00:00:00,,,2012-04-14 00:00:00,2012-05-14 00:00:00 UTC,Yes,3,2
1411061,213,1423,213,0,SEE DESTINATION APP,1,2,79.0,,Inactive,2012-03-01 00:00:00,,,2012-03-01 00:00:00,2012-03-31 00:00:00 UTC,No,3,2
1412965,213,1423,213,167727,SEE DESTINATION APP,1,2,79.0,,Inactive,2012-03-07 00:00:00,2014-01-27 00:00:00,,2014-01-06 00:00:00,2014-02-06 00:00:00 UTC,No,3,2
1410383,213,1423,213,167565,SEE DESTINATION APP,1,2,79.0,,Inactive,2012-03-08 00:00:00,,,2012-03-08 00:00:00,2012-04-07 00:00:00 UTC,Yes,3,2
1411943,213,1423,213,167681,SEE DESTINATION APP,1,2,79.0,,Inactive,2012-03-28 00:00:00,2012-07-24 00:00:00,Billing Failure,2012-06-27 00:00:00,2012-07-27 00:00:00 UTC,Yes,5,2
1414223,213,1423,213,167771,SEE DESTINATION APP,1,2,79.0,,Inactive,2012-03-28 00:00:00,2012-06-25 00:00:00,,2012-05-27 00:00:00,2012-06-27 00:00:00 UTC,No,3,2
1414261,213,1423,213,167781,SEE DESTINATION APP,1,2,79.0,,Inactive,2012-04-09 00:00:00,2013-03-08 00:00:00,,2013-02-09 00:00:00,2013-03-09 00:00:00 UTC,No,3,2
1415245,213,1423,213,167885,SEE DESTINATION APP,1,2,79.0,,Inactive,2012-04-15 00:00:00,2012-05-01 00:00:00,,2012-04-15 00:00:00,2012-05-15 00:00:00 UTC,No,3,2
1416047,213,1423,213,167897,SEE DESTINATION APP,1,2,79.0,,Inactive,2012-04-18 00:00:00,2013-05-07 00:00:00,,2013-04-18 00:00:00,2013-05-18 00:00:00 UTC,No,3,2
1415903,213,1423,213,167891,SEE DESTINATION APP,1,2,79.0,,Inactive,2012-04-18 00:00:00,2012-08-22 00:00:00,Billing Failure,2012-08-18 00:00:00,2012-09-18 00:00:00 UTC,Yes,3,2
1414407,213,1423,213,167825,SEE DESTINATION APP,1,2,79.0,,Inactive,2012-04-18 00:00:00,2015-01-22 00:00:00,,2015-01-18 00:00:00,2015-02-22 00:00:00 UTC,No,3,2
1414795,213,1423,213,167853,SEE DESTINATION APP,1,2,79.0,,Inactive,2012-04-18 00:00:00,2012-05-01 00:00:00,,2012-04-18 00:00:00,2012-05-18 00:00:00 UTC,No,3,2
1411061,213,1423,213,167649,SEE DESTINATION APP,1,2,79.0,,Inactive,2012-04-18 00:00:00,,,2012-04-18 00:00:00,2012-05-18 00:00:00 UTC,No,3,2
1414333,213,1423,213,167819,SEE DESTINATION APP,1,2,79.0,,Inactive,2012-04-18 00:00:00,2013-07-18 00:00:00,,2013-06-19 00:00:00,2013-07-19 00:00:00 UTC,No,3,2
1414285,213,1423,213,167789,SEE DESTINATION APP,1,2,79.0,,Inactive,2012-04-18 00:00:00,2013-02-25 00:00:00,,2013-02-18 00:00:00,2013-03-18 00:00:00 UTC,No,3,2
1414209,213,1423,213,167767,SEE DESTINATION APP,1,2,79.0,,Inactive,2012-04-19 00:00:00,2012-10-11 00:00:00,,2012-09-19 00:00:00,2012-10-19 00:00:00 UTC,No,3,2
1410373,213,1423,213,0,SEE DESTINATION APP,1,2,79.0,,Inactive,2012-04-20 00:00:00,2012-04-20 00:00:00,,2012-03-24 00:00:00,2012-04-24 00:00:00 UTC,No,3,2
1415277,213,1423,213,167887,SEE DESTINATION APP,1,2,79.0,,Inactive,2012-04-21 00:00:00,,,2014-05-02 00:00:00,2014-06-02 00:00:00 UTC,Yes,3,2
1410931,213,1423,213,167637,SEE DESTINATION APP,1,2,79.0,,Inactive,2012-04-25 00:00:00,2012-05-22 00:00:00,,2012-04-25 00:00:00,2012-05-25 00:00:00 UTC,No,3,2
1414823,213,1423,213,167859,SEE DESTINATION APP,1,2,79.0,,Inactive,2012-04-25 00:00:00,2012-06-11 00:00:00,Says it is not a good fit at this time based on the size of his account.,2012-05-25 00:00:00,2012-06-25 00:00:00 UTC,Yes,3,2
1414303,213,1423,213,0,SEE DESTINATION APP,1,2,79.0,,Inactive,2012-04-25 00:00:00,2012-08-22 00:00:00,,2012-07-25 00:00:00,2012-08-25 00:00:00 UTC,No,3,2
1413821,213,1423,213,167757,SEE DESTINATION APP,1,2,79.0,,Inactive,2012-04-27 00:00:00,2013-01-04 00:00:00,,2012-12-27 00:00:00,2013-01-27 00:00:00 UTC,No,3,2
1410373,211,1421,211,0,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-05-02 00:00:00,2012-07-20 00:00:00,,2012-07-01 00:00:00,2012-08-01 00:00:00 UTC,No,3,2
1412427,211,1421,211,167721,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-05-02 00:00:00,,,2012-05-02 00:00:00,2012-06-01 00:00:00 UTC,Yes,3,2
1416987,211,1421,211,167945,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-05-03 00:00:00,2012-10-01 00:00:00,,2012-09-02 00:00:00,2012-10-02 00:00:00 UTC,No,3,2
